,datetime,Unnamed: 0,Unnamed: 0.1,par1,par1_type,opt_k_bisulfate,opt_k_carbonic,opt_k_fluoride,opt_total_borate,opt_gas_constant,opt_pH_scale,salinity,temperature,pressure,total_ammonia,total_borate,total_calcium,total_fluoride,total_phosphate,total_silicate,total_sulfate,total_sulfide,peng_correction,gas_constant,total_alpha,total_beta,pH,pH_total,pH_sws,pH_free,pH_nbs,k_CO2,k_carbonic_1,k_carbonic_2,k_water,k_borate,k_bisulfate,k_fluoride,k_phosphoric_1,k_phosphoric_2,k_phosphoric_3,k_silicate,k_ammonia,k_sulfide,k_calcite,k_aragonite,fugacity_factor,vp_factor,fH,k_alpha,k_beta,longitude,latitude,nitrate,oxygen,datenum,dayofyear,month,year,distance_to_shore
10,1976-03-31,6538.790697674419,6538.790697674419,8.270238095238096,3.0,1.0,4.0,1.0,1.0,3.0,4.0,32.72502380952381,4.595238095238095,0.0,0.0,388.6797827891157,9616.07966660041,63.88470658878644,0.026571428571428562,0.2691666666666666,26400.15012200254,0.0,0.0,83.14462618,0.0,0.0,8.270238095238096,8.171876927207311,8.164570184085033,8.221555102750553,8.270238095238096,0.053654391784602816,6.884571442927681e-07,3.7330650348433754e-10,6.330209580177527e-15,1.0956817087229682e-09,0.2179851098977292,0.003356952696881399,0.019570285813673188,5.555695973092893e-07,4.3483587563785525e-10,1.3387704878448298e-10,8.489471250784092e-11,1.0838596352028578e-07,3.9819454021898766e-07,6.337874233523361e-07,0.9958674967197554,0.9917743576977894,0.7840464356319384,9.999999999999998e-08,9.999999999999998e-08,4.197971578905697,52.604412502540875,0.3642168674698795,10.047619047619047,2260.5523633383727,70.11627906976744,3.0,1976.0,35.74639846998159
11,1976-04-30,6723.2235294117645,6723.2235294117645,8.359523809523811,3.0,1.0,4.0,1.0,1.0,3.0,4.0,32.98766666666667,6.6571428571428575,0.0,0.0,391.7992295238096,9693.255917192299,64.39742926742753,0.015409638554216858,0.06435294117647057,26612.031124668916,0.0,0.0,83.14462618,0.0,0.0,8.359523809523811,8.257731794623377,8.250167941040909,8.311977054244462,8.359523809523811,0.04977284692493243,7.248076235063687e-07,4.0545490224155243e-10,7.836738415354469e-15,1.1614242191951246e-09,0.20023120267447042,0.0032345008602440643,0.019471615112526774,5.817414314981821e-07,4.844979863204515e-10,1.4690469272404479e-10,1.0057558473792128e-10,1.184493889503351e-07,4.0213999562851767e-07,6.379672821582723e-07,0.9959783198790857,0.990510034407353,0.7774169968197701,1e-07,1e-07,4.1756679944179815,52.58744075739241,0.2978571428571429,10.664285714285715,2298.160490390601,107.75294117647059,4.0,1976.0,36.33928736485319
12,1976-05-31,6312.466666666666,6312.466666666666,8.36,3.0,1.0,4.0,1.0,1.0,3.0,4.0,33.01797297297297,10.212,0.0,0.0,392.1591818532819,9702.16126918037,64.45659223389127,0.01369333333333333,0.0168,26636.48003082669,0.0,0.0,83.14462618,0.0,0.0,8.36,8.250886563148304,8.242921477087389,8.313436718393449,8.35945945945946,0.044148266755947546,7.831008683540903e-07,4.6046749645112437e-10,1.1151522542107452e-14,1.2705999066101141e-09,0.17247490216160283,0.0030162184798572067,0.019166309492999932,6.2167560687261e-07,5.818355595862262e-10,1.7064127121989638e-10,1.3436264171081184e-10,1.364989787953914e-07,4.0261725246132143e-07,6.351780783399156e-07,0.9961599214952336,0.987907970808379,0.7646856983827145,1e-07,1e-07,4.012848193665455,52.44683994120979,0.2026666666666667,9.518666666666666,2330.0800878306877,139.65333333333334,5.0,1976.0,33.154911749467395
13,1976-06-30,7115.958904109589,7115.958904109589,8.293150684931506,3.0,1.0,4.0,1.0,1.0,3.0,4.0,33.1827397260274,14.32876712328767,0.0,0.0,394.1161401174169,9750.577130785252,64.77824442689611,0.009054794520547943,0.02191780821917808,26769.401768059644,0.0,0.0,83.14462618,0.0,0.0,8.293150684931506,8.176649705256906,8.168216776498177,8.250026169107004,8.293150684931506,0.03873981444987071,8.518948268012428e-07,5.339793005426857e-10,1.670988370471519e-14,1.4083657799200335e-09,0.14643239999505409,0.002793397069450681,0.01876523416203311,6.675733587724265e-07,7.164874589741177e-10,2.0170076891816644e-10,1.8749665446086078e-10,1.5929944872637632e-07,4.0436365410733614e-07,6.326634584928933e-07,0.9963563217692446,0.984059272669415,0.7500709849511746,1e-07,1e-07,4.1869901018819204,52.56961861478443,0.058493150684931515,9.020547945205479,2361.445374583243,171.02739726027397,6.0,1976.0,36.92486954204315
14,1976-07-31,6704.0097087378645,6704.0097087378645,8.431313131313132,3.0,1.0,4.0,1.0,1.0,3.0,4.0,33.44777777777778,17.655555555555555,0.0,0.0,397.26403492063497,9828.457196973945,65.29564292504507,0.009929292929292927,0.018787878787878787,26983.215038142487,0.0,0.0,83.14462618,0.0,0.0,8.431313131313132,8.308395745932566,8.2995835231952,8.39130364239952,8.431313131313132,0.034957850235841026,9.081573047974642e-07,6.007219055099063e-10,2.2552994298750823e-14,1.5280051106789165e-09,0.12857245129170186,0.0026326320304617176,0.01842674641904079,7.04757372519776e-07,8.391649703041476e-10,2.2895076032784582e-10,2.40375339970614e-10,1.7868539706327905e-07,4.073754773483294e-07,6.323446692052274e-07,0.9965071977826635,0.9803914318575452,0.7383927567487513,1e-07,1e-07,4.240912554822198,52.702616490238135,0.023232323232323236,7.868367346938776,2390.415178652928,200.0,7.0,1976.0,38.25792342337532
15,1976-08-31,6526.572916666667,6526.572916666667,8.36547619047619,3.0,1.0,4.0,1.0,1.0,3.0,4.0,33.382820238095235,18.31904761904762,0.0,0.0,396.49252494217694,9809.369758560779,65.16883496953365,0.010963414634146337,0.02,26930.812057195657,0.0,0.0,83.14462618,0.0,0.0,8.36547619047619,8.241080512829773,8.232203669435142,8.325871972702158,8.36547619047619,0.03428587311596189,9.179900825207014e-07,6.129152120006137e-10,2.383608052071861e-14,1.5497156059373039e-09,0.12495109837267107,0.002595661537737744,0.01833180041967536,7.107149679075761e-07,8.65252613286321e-10,2.3437582571688955e-10,2.521056444050757e-10,1.8251828911263385e-07,4.0621809462094203e-07,6.296252359046224e-07,0.9965365003085539,0.9795958792418333,0.7357571146967666,1e-07,1e-07,4.177777926614199,52.58927707599222,0.02119047619047619,7.595238095238095,2422.117492352844,231.66666666666666,8.0,1976.0,35.913330670862294
16,1976-09-30,6923.844444444445,6923.844444444445,8.14642857142857,3.0,1.0,4.0,1.0,1.0,3.0,4.0,33.44025882352941,16.613095238095237,0.0,0.0,397.1747312268908,9826.247791001235,65.28096467182799,0.025317647058823514,0.06258823529411764,26977.149297073123,0.0,0.0,83.14462618,0.0,0.0,8.14642857142857,8.025305940299612,8.016600411174,8.105335909508256,8.146249999999998,0.03599868623071001,8.92080357135854e-07,5.810671067985548e-10,2.057309550220565e-14,1.4928622035087701e-09,0.13352444781322165,0.00268144385302879,0.018547436553393252,6.946758967562053e-07,7.987044178293805e-10,2.205014786812043e-10,2.221372056628653e-10,1.727280984757058e-07,4.076244877235351e-07,6.342243927182319e-07,0.9964613718721758,0.981621428973299,0.7420097023135123,1.0000000000000001e-07,1.0000000000000001e-07,4.299159357375814,52.66859564239319,0.039058823529411764,6.797647058823529,2450.629838827839,260.23333333333335,9.0,1976.0,37.653865789866686
17,1976-10-31,6586.659340659341,6586.659340659341,8.127777777777778,3.0,1.0,4.0,1.0,1.0,3.0,4.0,33.50853,14.63855421686747,0.0,0.0,397.9855977428572,9846.308924514686,65.41424139922415,0.03706097560975608,0.11329268292682923,27032.225477256212,0.0,0.0,83.14462618,0.0,0.0,8.127777777777778,8.021128789593273,8.012629959444391,8.09560462561564,8.13780487804878,0.03820632125376332,8.612434848657734e-07,5.451244777429706e-10,1.7166078391982463e-14,1.4274428624605996e-09,0.14480296599554748,0.002790890470914078,0.018803421237746983,6.754096989736696e-07,7.244757488823593e-10,2.046069437077291e-10,1.902046349516879e-10,1.6132283702645052e-07,4.097916606326743e-07,6.402583329872967e-07,0.9963719477047929,0.9838338156189915,0.749603788666316,1e-07,1e-07,4.207534296336427,52.621733047058214,0.09402439024390244,7.334848484848485,2479.4836973230395,289.1098901098901,10.0,1976.0,36.96549190588023
18,1976-11-30,6326.1466666666665,6326.1466666666665,8.057333333333332,3.0,1.0,4.0,1.0,1.0,3.0,4.0,33.93004666666666,11.408,0.0,0.0,402.99201140952385,9970.169425611919,66.23711226187106,0.035746666666666656,0.12719999999999998,27372.274222329626,0.0,0.0,83.14462618,0.0,0.0,8.057333333333332,7.947802394256447,7.939627130080092,8.01392536919162,8.057333333333332,0.04222697626699345,8.125986919873451e-07,4.933148079975463e-10,1.2784947106455647e-14,1.3295751293462968e-09,0.16677492539191968,0.002993472169314428,0.019226149346869108,6.44523344664253e-07,6.155636673657505e-10,1.8081012052269208e-10,1.476185234826899e-10,1.4377282634250018e-07,4.1596839256143485e-07,6.535627465675375e-07,0.9962187720884657,0.9869061523093952,0.7626077496415121,1e-07,1e-07,4.012848193665455,52.44683994120979,0.11666666666666667,8.188888888888888,2505.6512584757834,315.3066666666667,11.0,1976.0,33.154911749467395
19,1976-12-31,6705.547619047619,6705.547619047619,8.057142857142857,3.0,1.0,4.0,1.0,1.0,3.0,4.0,33.86817619047619,6.923809523809524,0.0,0.0,402.25716692517005,9951.989104903183,66.11633076936725,0.03540476190476188,0.22761904761904758,27322.361657894056,0.0,0.0,83.14462618,0.0,0.0,8.057142857142857,7.9564345140366,7.948770355861518,8.011617144807909,8.057142857142857,0.04913175692316355,7.379513590915649e-07,4.2041803433946326e-10,8.245263424768786e-15,1.1876426085690486e-09,0.20220227808116634,0.0032700917113304257,0.0196202881430435,5.92852392617312e-07,4.880440688908429e-10,1.500020867947164e-10,1.0298888993677334e-10,1.205459682991782e-07,4.149836316036014e-07,6.568755454645238e-07,0.9959917710485885,0.9903157004105445,0.7791796867684239,1e-07,1e-07,4.188327570761702,52.59779706769517,0.2016666666666667,9.152380952380952,2537.9403247826913,347.57142857142856,12.0,1976.0,36.41515356943563
20,1977-01-31,7213.826086956522,7213.826086956522,7.952173913043478,3.0,1.0,4.0,1.0,1.0,3.0,4.0,33.94813111111111,3.8304347826086955,0.0,0.0,403.2068029396825,9975.483446451635,66.27241611478432,0.04019999999999996,0.28782608695652173,27386.863426327924,0.0,0.0,83.14462618,0.0,0.0,7.952173913043478,7.856571840596521,7.84925405836047,7.904997287814644,7.9511111111111115,0.054827993600524254,6.87663872219336e-07,3.761717462190586e-10,6.025701672283585e-15,1.096876962027832e-09,0.23268762171452914,0.003488702818330744,0.01986525666658902,5.573497717362685e-07,4.14248632990227e-10,1.310607884561613e-10,7.975670171177614e-11,1.0586159713113549e-07,4.154574849171069e-07,6.600789429319339e-07,0.9958249090599638,0.9921910548968382,0.7909501211537178,1e-07,1e-07,4.088279574722388,52.54976578201144,0.2947826086956522,9.806521739130435,2575.247924646308,18.804347826086957,1.0,1977.0,38.24277231996791
21,1977-02-28,7269.591397849463,7269.591397849463,8.08804347826087,3.0,1.0,4.0,1.0,1.0,3.0,4.0,32.991532222222226,4.377173913043478,0.0,0.0,391.84514127936507,9694.391790779258,64.40497547683312,0.04231818181818179,0.33999999999999997,26615.14957150537,0.0,0.0,83.14462618,0.0,0.0,8.08804347826087,7.9904963252950365,7.983209105936258,8.039567699025762,8.087777777777777,0.05403622189212107,6.872456946527717e-07,3.7458309377200064e-10,6.255243452176164e-15,1.0951152493492694e-09,0.22202039553441727,0.003387984627145599,0.01961581861782487,5.540117856927927e-07,4.2160175436488543e-10,1.3295582365069943e-10,8.348551412657167e-11,1.0748356999498283e-07,4.027377501582066e-07,6.409101325374538e-07,0.9958553525651708,0.9918903675656,0.786065259670862,1e-07,1e-07,4.109233288972823,52.56933371267086,0.41086956521739126,10.101086956521739,2597.645381480825,41.24731182795699,2.0,1977.0,38.981638871648734
22,1977-03-31,7336.119565217391,7336.119565217391,8.208888888888888,3.0,1.0,4.0,1.0,1.0,3.0,4.0,33.31680333333333,5.894444444444445,0.0,0.0,395.7084327333333,9789.97103117626,65.0399589566341,0.0239090909090909,0.18433333333333332,26877.55445816537,0.0,0.0,83.14462618,0.0,0.0,8.208888888888888,8.109239977392425,8.101744107915016,8.16178071838374,8.208888888888888,0.05105964187023903,7.153484246866827e-07,3.989142262540767e-10,7.326694403558672e-15,1.145559757392639e-09,0.20890626578235857,0.0033046404280889044,0.01958505415214964,5.75261014732278e-07,4.6032201798511916e-10,1.4258584836341935e-10,9.448585600763586e-11,1.1495636197783827e-07,4.072296276217384e-07,6.463448193243054e-07,0.9959376755466737,0.9909943280124114,0.7813967167659253,1e-07,1e-07,4.082012301946861,52.56105180710307,0.325,9.98,2628.1857753829054,71.76086956521739,3.0,1977.0,39.239595991547745
23,1977-04-30,7283.2588235294115,7283.2588235294115,7.44390243902439,3.0,1.0,4.0,1.0,1.0,3.0,4.0,33.467636144578314,7.871428571428571,0.0,0.0,397.4998955800345,9834.292475759805,65.33440977037326,0.012341463414634136,0.07216867469879518,26999.235312650562,0.0,0.0,83.14462618,0.0,0.0,7.44390243902439,7.331344637508037,7.3236105506570714,7.388386983007233,7.434567901234568,0.04755501819891912,7.494325499716058e-07,4.297889846893371e-10,8.915245332373358e-15,1.2079554633255763e-09,0.19210054861942813,0.003183522242867906,0.01945984280204523,5.994998207849083e-07,5.105624414180768e-10,1.5539798155849438e-10,1.108251217865505e-10,1.2480036795614685e-07,4.095213964459245e-07,6.479899868672298e-07,0.9960420211026628,0.9896968527853931,0.7745875496400371,1e-07,1e-07,4.0119320911551,52.54390251212406,0.14195121951219514,10.27,2659.605545925208,103.21176470588236,4.0,1977.0,39.6580795304438
24,1977-05-31,7316.723404255319,7316.723404255319,8.460638297872341,3.0,1.0,4.0,1.0,1.0,3.0,4.0,33.44323440860215,10.60531914893617,0.0,0.0,397.2100726758833,9827.122151346417,65.2867735103611,0.010166666666666664,0.03144444444444444,26979.549780968206,0.0,0.0,83.14462618,0.0,0.0,8.460638297872341,8.352684436587452,8.344644037322501,8.41633594865512,8.461290322580645,0.043461692955443484,7.938279798186546e-07,4.726984964094228e-10,1.1664127088098567e-14,1.2921375557571755e-09,0.17117368685586673,0.0030160062224771347,0.01920821219492465,6.299119223994757e-07,5.893554961926544e-10,1.74026812396373e-10,1.3834631058623822e-10,1.3888263067768808e-07,4.09022536276987e-07,6.44322344994671e-07,0.9961795897479448,0.9876011291863162,0.7644934764352946,1e-07,1e-07,4.195462220255424,52.62555127217666,0.08577777777777777,9.55531914893617,2690.4949689716314,134.08510638297872,5.0,1977.0,39.43053128034373
25,1977-06-30,7374.041666666667,7374.041666666667,8.380434782608695,3.0,1.0,4.0,1.0,1.0,3.0,4.0,33.23376195652174,13.548913043478262,0.0,0.0,394.7221384378882,9765.569750379876,64.87784833379037,0.012760869565217388,0.014891304347826085,26810.562763157777,0.0,0.0,83.14462618,0.0,0.0,8.380434782608695,8.265793740810135,8.25744569587114,8.33690361752377,8.380681818181818,0.03956595468362633,8.399088875922531e-07,5.202779241521883e-10,1.533824355938433e-14,1.3830508519842141e-09,0.15065459869397424,0.0028350646848858455,0.018864888904122638,6.600312277778661e-07,6.846541136567016e-10,1.9540808844074058e-10,1.7443326533916432e-10,1.5477154293343064e-07,4.0557158107342877e-07,6.356342197003808e-07,0.9963215207560998,0.9849561777679586,0.7530409181878375,1e-07,1e-07,4.120149377317813,52.59728465568284,0.06304347826086956,8.307692307692308,2722.983475203182,166.60416666666666,6.0,1977.0,39.34898904367561
26,1977-07-31,7482.427083333333,7482.427083333333,8.292391304347827,3.0,1.0,4.0,1.0,1.0,3.0,4.0,33.237858241758246,16.05108695652174,0.0,0.0,394.7707906028258,9766.773422695003,64.88584496603,0.01622826086956521,0.03499999999999999,26813.86734578591,0.0,0.0,83.14462618,0.0,0.0,8.292391304347827,8.172390891207815,8.163766318452513,8.250469685744227,8.292307692307693,0.03665983327710683,8.804059620678918e-07,5.663799474368217e-10,1.937612992555803e-14,1.4674538872337547e-09,0.13627102034902847,0.0027022996957873167,0.018580258226161276,6.862540024839955e-07,7.75549867880898e-10,2.1524541116188506e-10,2.1225629126273793e-10,1.690825467795132e-07,4.049208747351454e-07,6.311928454629189e-07,0.9964363054094894,0.9823016721177817,0.7438293950462639,1e-07,1e-07,4.043718270473309,52.52630464611952,0.06119565217391304,8.325,2751.9345500578706,195.47916666666666,7.0,1977.0,38.89184360945184
27,1977-08-31,7139.62015503876,7139.62015503876,8.021705426356588,3.0,1.0,4.0,1.0,1.0,3.0,4.0,33.163429457364344,17.483464566929136,0.0,0.0,393.8867892978959,9744.902907813614,64.7405475605815,0.019464566929133842,0.030479999999999993,26753.823658947545,0.0,0.0,83.14462618,0.0,0.0,8.021705426356588,7.9046053265295795,7.895837273020119,7.986668146393291,8.027559055118111,0.035165569332973864,9.020227089947573e-07,5.923615626972056e-10,2.1989712217251796e-14,1.5142623063621648e-09,0.12859007710267112,0.0026255329780447193,0.018389823932873146,6.994966892778088e-07,8.302563814111722e-10,2.2678879307705176e-10,2.366193443528041e-10,1.7729359136811213e-07,4.0309309799395076e-07,6.264127006356351e-07,0.9965000794170947,0.9806385563817125,0.7383959381274805,1e-07,1e-07,3.9792765883148506,52.45864899086758,0.05888,8.142168674698794,2784.2580050324887,227.8217054263566,8.0,1977.0,36.474791174674685
