,datetime,par1,par1_type,opt_k_bisulfate,opt_k_carbonic,opt_k_fluoride,opt_total_borate,opt_gas_constant,opt_pH_scale,salinity,temperature,pressure,total_ammonia,total_borate,total_calcium,total_fluoride,total_phosphate,total_silicate,total_sulfate,total_sulfide,peng_correction,gas_constant,total_alpha,total_beta,pCO2,fCO2,aqueous_CO2,xCO2,k_CO2,k_carbonic_1,k_carbonic_2,k_water,k_borate,k_bisulfate,k_fluoride,k_phosphoric_1,k_phosphoric_2,k_phosphoric_3,k_silicate,k_ammonia,k_sulfide,k_calcite,k_aragonite,fugacity_factor,vp_factor,fH,k_alpha,k_beta,longitude,latitude,fco2_air,deltafco2,datenum,dayofyear,month,year,distance_to_shore
172,2006-03-31,311.1914957507082,5.0,1.0,4.0,1.0,1.0,3.0,1.0,,5.6168555240793205,0.0,0.0,,,,0.0,0.0,,0.0,0.0,83.14462618,0.0,0.0,312.4656460688865,311.1914957507082,,,,,,,,,,,,,,,,,,0.9959231862262997,,,1e-07,1e-07,4.891586402266289,54.40428611898017,,,13238.0,142,3,2006,130.7110372477411
173,2006-04-30,310.4404718367347,5.0,1.0,4.0,1.0,1.0,3.0,1.0,35.02970873786408,6.884136054421769,0.0,0.0,416.05285492371706,10293.299460429364,68.38383610152854,0.0,0.0,28259.40096460674,0.0,0.0,83.14462618,0.0,0.0,311.69044099776534,310.4404718367347,11.576506084996208,254.03776498345158,0.046249315596936826,9.78200528798177e-07,5.775532859792954e-10,1.2237339653835717e-14,1.5878609536972655e-09,0.19414707062599879,0.0032398645668563282,0.024925275908592535,7.845564351174293e-07,6.598404276695868e-10,2.0386124082985732e-10,1.4589181504478123e-10,1.6287659651738056e-07,4.3203944049232565e-07,6.809807780912796e-07,0.9959902811827295,0.9893196261598233,0.7772023387348748,1e-07,1e-07,4.894613605442177,54.36588843537415,382.19964155208766,-131.8634337850974,13268.0,142,4,2006,126.74053034328718
174,2006-05-31,297.41143833069617,5.0,1.0,4.0,1.0,1.0,3.0,1.0,34.9318487394958,9.735149920886075,0.0,0.0,414.89055774309725,10264.54380402526,68.19279705694527,0.0,0.0,28180.454692087613,0.0,0.0,83.14462618,0.0,0.0,298.5662370159075,297.41143833069617,12.746149732043378,293.09303213535725,0.04418563214861043,1.0130061545837973e-06,6.089970411293104e-10,1.4089089702938958e-14,1.6521842320903479e-09,0.18238357080362,0.0031463537107412113,0.024912066369426007,8.092448450885411e-07,7.14824052566828e-10,2.1721175290137207e-10,1.6424505823087317e-10,1.730228806833462e-07,4.30713148199817e-07,6.774800509169153e-07,0.9961361952012792,0.98827486606979,0.7716022798869083,9.999999999999998e-08,9.999999999999998e-08,4.903737856012658,54.38126910601266,381.86303697041404,-93.3263134410023,13299.0,142,5,2006,128.05072595437386
175,2006-06-30,340.9822836446817,5.0,1.0,4.0,1.0,1.0,3.0,1.0,,12.612432329393826,0.0,0.0,,,,0.0,0.0,,0.0,0.0,83.14462618,0.0,0.0,342.25634215966807,340.9822836446816,,,,,,,,,,,,,,,,,,0.9962764537691199,,,1e-07,1e-07,5.021190621425848,54.56186847121616,,,13329.0,142,6,2006,142.95218065437442
176,2006-07-31,411.0388523426408,5.0,1.0,4.0,1.0,1.0,3.0,1.0,,18.183180312352103,0.0,0.0,,,,0.0,0.0,,0.0,0.0,83.14462618,0.0,0.0,412.4682754116734,411.0388523426408,,,,,,,,,,,,,,,,,,0.9965294544104585,,,1e-07,1e-07,5.006792711784192,54.5271192617132,,,13360.0,142,7,2006,139.81348479923957
177,2006-08-31,401.5476011235955,5.0,1.0,4.0,1.0,1.0,3.0,1.0,34.5,18.912006420545747,0.0,0.0,409.7614285714286,10137.64727655187,67.34975626424773,0.0,0.0,27832.07078810498,0.0,0.0,83.14462618,0.0,0.0,402.93291294793397,401.5476011235955,12.229842502543322,379.64987546658097,0.03304439950426735,1.2642955037026657e-06,8.727032409791364e-10,3.578754444268091e-14,2.1574582696982934e-09,0.1222714614094621,0.0025961565330905843,0.024554608652888315,9.79759989446418e-07,1.212252970139298e-09,3.282517203789233e-10,3.6418819147606137e-10,2.536877075041304e-07,4.2255051531331494e-07,6.517076320285001e-07,0.996562128793527,0.9781953989417101,0.7339218964249998,1e-07,1e-07,4.885844831460674,54.581983146067415,365.66668480815406,4.436065191845955,13391.0,142,8,2006,148.7188957900791
182,2007-01-31,376.16652097039474,5.0,1.0,4.0,1.0,1.0,3.0,1.0,,8.383443667763158,0.0,0.0,,,,0.0,0.0,,0.0,0.0,83.14462618,0.0,0.0,377.65145558806444,376.1665209703947,,,,,,,,,,,,,,,,,,0.9960681191117383,,,1e-07,1e-07,5.072176398026316,54.585112253289466,,,13544.0,142,1,2007,144.04214260020575
183,2007-02-28,369.94067453416153,5.0,1.0,4.0,1.0,1.0,3.0,1.0,,7.199381987577639,0.0,0.0,,,,0.0,0.0,,0.0,0.0,83.14462618,0.0,0.0,371.4237816690161,369.9406745341614,,,,,,,,,,,,,,,,,,0.9960070481183336,,,1e-07,1e-07,5.019031055900621,54.41707639751553,,,13572.0,142,2,2007,128.44340519589616
184,2007-03-31,332.4973701450632,5.0,1.0,4.0,1.0,1.0,3.0,1.0,,7.40438465138044,0.0,0.0,,,,0.0,0.0,,0.0,0.0,83.14462618,0.0,0.0,333.8281146411385,332.4973701450632,,,,,,,,,,,,,,,,,,0.9960176260784336,,,1e-07,1e-07,4.980760879737951,54.49756153486196,,,13603.0,142,3,2007,137.5694266997627
185,2007-04-30,251.85705159209994,5.0,1.0,4.0,1.0,1.0,3.0,1.0,,9.105699717855703,0.0,0.0,,,,0.0,0.0,,0.0,0.0,83.14462618,0.0,0.0,252.84530137673846,251.85705159209994,,,,,,,,,,,,,,,,,,0.996104705294771,,,1.0000000000000001e-07,1.0000000000000001e-07,4.984614268440145,54.557210399032655,,,13633.0,142,4,2007,143.45613358324414
