,Unnamed: 0,Unnamed: 0.1,datetime,par1,par1_type,opt_k_bisulfate,opt_k_carbonic,opt_k_fluoride,opt_total_borate,opt_gas_constant,opt_pH_scale,salinity,temperature,pressure,total_ammonia,total_borate,total_calcium,total_fluoride,total_phosphate,total_silicate,total_sulfate,total_sulfide,peng_correction,gas_constant,total_alpha,total_beta,pCO2,fCO2,aqueous_CO2,xCO2,k_CO2,k_carbonic_1,k_carbonic_2,k_water,k_borate,k_bisulfate,k_fluoride,k_phosphoric_1,k_phosphoric_2,k_phosphoric_3,k_silicate,k_ammonia,k_sulfide,k_calcite,k_aragonite,fugacity_factor,vp_factor,fH,k_alpha,k_beta,longitude,latitude,distance_to_shore,datenum,dayofyear,month,year
15,15,155,2004-10-31,389.44692003121753,9.0,1.0,4.0,1.0,1.0,3.0,1.0,34.10163319458897,18.22080234131113,0.0,0.0,405.0299691140182,10020.589242930311,66.57207779328542,0.0,0.0,27510.697653964948,0.0,0.0,83.14462618,0.0,0.0,381.55823520277016,380.2351417041045,13.019225945583196,389.4469200312175,0.0342399363263244,1.2279242732127683e-06,8.272592233913601e-10,3.180696942074267e-14,2.077685689993742e-09,0.1270088504907809,0.0026345542905536,0.0245451559182664,9.537475115268536e-07,1.1412366665408276e-09,3.1204795928304326e-10,3.3155351718319397e-10,2.4258122356976373e-07,4.170564510384658e-07,6.456294292954459e-07,0.99653239435331,0.9797438766922708,0.7375671852038235,1e-07,1e-07,3.327077575442248,52.20537773152966,53.04000600881688,12722.0,305,10,2004
16,16,165,2005-08-31,375.1385991262136,9.0,1.0,4.0,1.0,1.0,3.0,1.0,,16.673285679611652,0.0,0.0,,,,0.0,0.0,,0.0,0.0,83.14462618,0.0,0.0,,,,375.1385991262136,,,,,,,,,,,,,,,,0.9964639679282372,,,1e-07,1e-07,4.269058713592233,54.03806288834952,119.25197566516148,13026.0,243,8,2005
17,17,168,2005-11-30,377.8144040650407,9.0,1.0,4.0,1.0,1.0,3.0,1.0,33.57227642276423,6.441382113821138,0.0,0.0,398.7427231126597,9865.04048246036,65.53868505243831,0.0,0.0,27083.65141786092,0.0,0.0,83.14462618,0.0,0.0,374.2882970777793,372.7788804766464,18.61892823436637,377.8144040650407,0.0499463023758139,9.160922013528338e-07,5.149843031310881e-10,9.739447925232434e-15,1.4694860261239054e-09,0.2045430365392285,0.0032832836172637,0.0247060375660279,7.369506764926915e-07,6.023243253883914e-10,1.8432560548392104e-10,1.2408427063147888e-10,1.484838817394601e-07,4.103741211696409e-07,6.503580595580123e-07,0.995967235519376,0.9906670922690374,0.779993811557176,1e-07,1e-07,3.24579674796748,53.74913008130081,132.41401720263198,13117.0,334,11,2005
18,18,169,2005-12-31,377.8252436918991,9.0,1.0,4.0,1.0,1.0,3.0,1.0,33.41519256308101,6.427702523240372,0.0,0.0,396.8770156706508,9818.882199494912,65.23203114917129,0.0,0.0,26956.92767576317,0.0,0.0,83.14462618,0.0,0.0,374.3019005250909,372.7921536668698,18.64625562928792,377.8252436918991,0.0500178007352799,9.144186580962912e-07,5.127871046169427e-10,9.704359745309461e-15,1.4659758555283411e-09,0.2039149177139312,0.0032746516365565,0.024682608246283,7.353842388829082e-07,6.028806527990771e-10,1.8405704366864247e-10,1.2406307113245651e-10,1.48331723799043e-07,4.081227345535628e-07,6.470156151231028e-07,0.9959665004970366,0.9906746751537656,0.7795412658885637,1e-07,1e-07,5.059524568393094,54.66676892430279,152.75086322079824,13148.0,365,12,2005
19,19,171,2006-02-28,377.7440091160221,9.0,1.0,4.0,1.0,1.0,3.0,1.0,33.219613259668506,6.710276243093922,0.0,0.0,394.55409234412,9761.412228695212,64.85022771684771,0.0,0.0,26799.148631784483,0.0,0.0,83.14462618,0.0,0.0,374.15177223514746,372.6482188680207,18.48019071766325,377.7440091160221,0.0495914372909032,9.186108534374018e-07,5.165906386128644e-10,9.965934863827546e-15,1.4738871311271355e-09,0.2011651017456069,0.0032444953791175,0.0246272312994402,7.367331566244287e-07,6.061494973758097e-10,1.8618361070727983e-10,1.2725560002435794e-10,1.4996912470202266e-07,4.059887549901748e-07,6.439145616452487e-07,0.9959814357253316,0.9904902883305536,0.7781617196263421,1e-07,1e-07,4.609668508287293,54.1270773480663,112.33252350517203,13207.0,59,2,2006
20,20,172,2006-03-31,377.7093039660057,9.0,1.0,4.0,1.0,1.0,3.0,1.0,31.49382436260624,6.533229461756374,0.0,0.0,374.05665107244033,9254.298051529797,61.48119984494368,0.0,0.0,25406.908668063817,0.0,0.0,83.14462618,0.0,0.0,374.157471426357,372.65039239655454,18.785833333959136,377.7093039660057,0.0504112295449357,8.988252330893758e-07,4.917751748106754e-10,9.530464361676995e-15,1.433194594285914e-09,0.1948726321758402,0.0031518753243963,0.0243517803983997,7.177474818971606e-07,6.064154249350792e-10,1.8282707912028248e-10,1.266185153858245e-10,1.479512333178518e-07,3.81549406434874e-07,6.077952536225089e-07,0.9959720749963314,0.990596381937504,0.773489848482958,1e-07,1e-07,4.891586402266289,54.40428611898017,130.7110372477411,13238.0,90,3,2006
21,21,173,2006-04-30,378.1272395918368,9.0,1.0,4.0,1.0,1.0,3.0,1.0,34.33745986394558,9.95422739229025,0.0,0.0,407.8309161554908,10089.885694882234,67.03245079913403,0.0,0.0,27700.94532223324,0.0,0.0,83.14462618,0.0,0.0,373.6019210291319,372.1622237018389,16.46644928487311,378.1272395918368,0.0442547590071694,1.01201267439888e-06,6.05998915022787e-10,1.4516370378548292e-14,1.649609249654967e-09,0.1795604206529263,0.0031063436631771,0.0248117686163826,8.067310125798136e-07,7.30957955169916e-10,2.1878423206027022e-10,1.6963869357680598e-10,1.7433626822455465e-07,4.218573625522147e-07,6.639411791003959e-07,0.9961460837279044,0.9880442881572464,0.7692674576268915,1e-07,1e-07,4.894613605442177,54.36588843537415,126.74053034328718,13268.0,120,4,2006
22,22,174,2006-05-31,377.790352017405,9.0,1.0,4.0,1.0,1.0,3.0,1.0,34.27268473101265,11.49677579113924,0.0,0.0,407.0615726480561,10070.851855752791,66.9059989320321,0.0,0.0,27648.68949367968,0.0,0.0,83.14462618,0.0,0.0,372.7992082264145,371.3911715771527,15.60945180927399,377.790352017405,0.0420387249221583,1.0512333972491195e-06,6.421116705652855e-10,1.6771966282058252e-14,1.72291156797351e-09,0.1677084710325963,0.0030088722870505,0.0247893476523898,8.34148624904648e-07,7.95338566409147e-10,2.3420108958294916e-10,1.9204845466139327e-10,1.8598386774257602e-07,4.208856646878604e-07,6.607476878934203e-07,0.9962227140364616,0.9867995746909544,0.7633072262615861,9.999999999999998e-08,9.999999999999998e-08,4.903737856012658,54.38126910601266,128.05072595437386,13299.0,151,5,2006
23,23,175,2006-06-30,373.66476740373616,9.0,1.0,4.0,1.0,1.0,3.0,1.0,34.17140297369424,14.97173694243233,0.0,0.0,405.8586347475628,10041.090733108056,66.7082800430637,0.0,0.0,27566.98279689041,0.0,0.0,83.14462618,0.0,0.0,367.4332889870565,366.1044554988818,13.87617057461321,373.66476740373616,0.0378710414730331,1.1421458950898734e-06,7.35406732469685e-10,2.404011188250083e-14,1.9032226297600567e-09,0.1458208009515192,0.0028110514089311,0.0246749738405353,8.96052172490884e-07,9.684070587067435e-10,2.735239451567564e-10,2.601061343030762e-10,2.147593399931431e-07,4.188297994435065e-07,6.529614093204893e-07,0.9963847222072408,0.9833033286516548,0.7499607120009969,1e-07,1e-07,5.021190621425848,54.56186847121616,142.95218065437442,13329.0,181,6,2006
24,24,176,2006-07-31,371.0296103170848,9.0,1.0,4.0,1.0,1.0,3.0,1.0,34.487059630856606,16.38241362991008,0.0,0.0,409.60773395848827,10133.844815740156,67.32449450460201,0.0,0.0,27821.631446944884,0.0,0.0,83.14462618,0.0,0.0,364.3338540355334,363.04091574332233,13.089804981576018,371.0296103170848,0.0360554711827508,1.1826426834121887e-06,7.78701836460211e-10,2.690625347759628e-14,1.9841092629124158e-09,0.1376360831810591,0.0027474502165329,0.0246937145287218,9.252481036321368e-07,1.032869739379935e-09,2.896413418322942e-10,2.8538635776303045e-10,2.26430991826658e-07,4.233902821577521e-07,6.578166748094141e-07,0.996451253655497,0.981953629109486,0.7453727760368023,1e-07,1e-07,5.006792711784192,54.5271192617132,139.81348479923955,13360.0,212,7,2006
